K,epidemic peak,cost fun,delta fun
201,9546.0,11377.620513339745,9
202,8590.0,10430.733053207108,9
203,6581.0,8430.84559307447,9
204,7656.0,9514.958132941832,9
205,7641.0,9509.070672809194,9
206,7005.0,8882.183212676555,9
207,6780.0,8666.295752543918,9
208,4771.0,6666.408292411279,9
209,6761.0,8665.520832278642,9
210,10363.0,12276.633372146003,9
211,7976.0,9898.745912013364,9
212,9144.0,11075.858451880727,9
213,6505.0,8445.970991748089,9
214,5982.0,7932.083531615451,9
215,7099.0,9058.196071482813,9
216,8267.0,10235.308611350174,9
217,8797.0,10774.421151217537,9
218,6144.0,8130.533691084898,9
219,5144.0,7139.64623095226,9
